Date,Ref ID,Type,Category,Description,Client Name,Client Company,Client Email,Client Phone,Client Platform,Client Country,Vendor Payee,Invoice Number,Invoice Status,Invoice Issue Date,Invoice Due Date,Invoice Paid Date,Invoice Subtotal Foreign,Invoice Discount Foreign,Invoice Tax Rate Pct,Invoice Total Foreign,Currency,Exchange Rate to PKR,Amount,Amount Foreign,Amount PKR,Tax Year,Tax Regimen Section,Export Income PKR,Local Income PKR,Deductible Expense PKR,PSEB Export Tax Rate Pct,PSEB Export Tax Liability PKR,Standard Export Tax Rate Pct,Standard Export Tax Liability PKR,PSEB Tax Savings PKR,Local Taxable Income PKR,Local Tax Slab Bracket,Local Tax Liability PKR,Total Tax Liability PSEB PKR,Total Tax Liability Non PSEB PKR,Effective Tax Rate PSEB Pct,Net Take Home Income PKR,SBP Purpose Code,PRC Reference Number,FBR Filing Compliance Status,Simulation Scenario Tag,Scenario Description Notes
2025-07-05,TXN-2025-0701,Income,freelance_service,Invoice INV-2025-001 for Acme Corp - Enterprise React & Node Dashboard Development,Acme Corp,Acme Global Technologies Inc,finance@acmeglobal.com,+1-415-555-0142,direct,United States,Acme Global Technologies Inc,INV-2025-001,paid,2025-06-25,2025-07-05,2025-07-05,3500.00,0.00,0.00,3500.00,USD,280.5000,3500.00,3500.00,981750.00,2025-26,Section 154A IT Export,981750.00,0.00,0.00,0.25%,2454.38,1.00%,9817.50,7363.12,0.00,N/A - Export Final Tax,0.00,2454.38,9817.50,0.25%,979295.62,9100,PRC-HBL-2025-77810,Verified & Audit Ready,Actual TY2026,Export IT service remittance via Wise inward bank wire to HBL foreign currency account
2025-07-08,TXN-2025-0702,Expense,software,AWS Cloud Infrastructure & EC2 Hosting Cluster for Client Staging,,,,,,United States,Amazon Web Services Inc,,,,,,,,,,USD,280.5000,-85.00,85.00,23842.50,2025-26,Deductible Business Expense,0.00,0.00,23842.50,0.00%,0.00,0.00%,0.00,0.00,0.00,N/A - Business Expense,0.00,0.00,0.00,0.00%,-23842.50,,,Deductible Receipt Attached,Actual TY2026,Monthly recurring AWS cloud hosting charge billed to corporate USD card
2025-07-12,TXN-2025-0703,Income,freelance_service,Upwork Payout for TechFlow Labs LLC - Next.js AI Integration Milestone 1,TechFlow Labs LLC,TechFlow Innovations Ltd,contact@techflowlabs.io,+1-212-555-0198,upwork,United States,TechFlow Labs LLC,INV-2025-002,paid,2025-07-01,2025-07-12,2025-07-12,2400.00,0.00,0.00,2400.00,USD,280.5000,2400.00,2400.00,673200.00,2025-26,Section 154A IT Export,673200.00,0.00,0.00,0.25%,1683.00,1.00%,6732.00,5049.00,0.00,N/A - Export Final Tax,0.00,1683.00,6732.00,0.25%,671517.00,9100,PRC-SCB-2025-99214,Verified & Audit Ready,Actual TY2026,Upwork escrow milestone direct release to Standard Chartered Bank Pakistan
2025-07-12,TXN-2025-0704,Expense,other,Upwork Platform 10% Freelancer Service Fee - TechFlow Labs LLC,TechFlow Labs LLC,Upwork Global Inc,donotreply@upwork.com,+1-650-316-7500,upwork,United States,Upwork Global Inc,,,,,,,,,,USD,280.5000,-240.00,240.00,67320.00,2025-26,Deductible Business Expense,0.00,0.00,67320.00,0.00%,0.00,0.00%,0.00,0.00,0.00,N/A - Business Expense,0.00,0.00,0.00,0.00%,-67320.00,,,Deductible Receipt Attached,Actual TY2026,Platform commission fee automatically deducted by Upwork at payout
2025-07-20,TXN-2025-0705,Expense,internet,PTCL Flash Fiber 100Mbps Dedicated Business Internet Bill,,,,,,Pakistan,Pakistan Telecommunication Company Limited,,,,,,,,,,PKR,1.0000,-7500.00,7500.00,7500.00,2025-26,Deductible Business Expense,0.00,0.00,7500.00,0.00%,0.00,0.00%,0.00,0.00,0.00,N/A - Business Expense,0.00,0.00,0.00,0.00%,-7500.00,,,Deductible Receipt Attached,Actual TY2026,Broadband optical fiber connection expense for home office workstation
2025-07-25,TXN-2025-0706,Income,freelance_service,Invoice INV-2025-003 for PakFintech Solutions - Local ERP Integration & Custom Module,PakFintech Solutions,PakFintech Pvt Ltd,accounts@pakfintech.pk,+92-42-35889900,direct,Pakistan,PakFintech Pvt Ltd,INV-2025-003,paid,2025-07-15,2025-07-25,2025-07-25,350000.00,0.00,0.00,350000.00,PKR,1.0000,350000.00,350000.00,350000.00,2025-26,Section 9/10 Normal Slabs,0.00,350000.00,0.00,0.00%,0.00,0.00%,0.00,0.00,350000.00,Bracket 1: PKR 0 - 600k (0% Exemption),0.00,0.00,0.00,0.00%,350000.00,,,Verified & Audit Ready,Actual TY2026,Domestic PKR commercial contract received via 1Link IBFT into Meezan Bank
2025-08-04,TXN-2025-0801,Income,freelance_service,Fiverr Order Clearing - Full-Stack NestJS & TypeScript Backend API Architecture,Apex Digital Inc,Apex Digital Media Corp,devs@apexdigital.com,+1-312-555-0177,fiverr,United States,Apex Digital Inc,INV-2025-004,paid,2025-07-20,2025-08-04,2025-08-04,1850.00,0.00,0.00,1850.00,USD,280.5000,1850.00,1850.00,518925.00,2025-26,Section 154A IT Export,518925.00,0.00,0.00,0.25%,1297.31,1.00%,5189.25,3891.94,0.00,N/A - Export Final Tax,0.00,1297.31,5189.25,0.25%,517627.69,9100,PRC-MBL-2025-10492,Verified & Audit Ready,Actual TY2026,Fiverr order revenue withdrawal through Payoneer to Meezan Bank PKR
2025-08-10,TXN-2025-0802,Expense,software,GitHub Enterprise & Copilot Business Monthly Team Subscription,,,,,,United States,GitHub Inc / Microsoft,,,,,,,,,,USD,280.5000,-39.00,39.00,10939.50,2025-26,Deductible Business Expense,0.00,0.00,10939.50,0.00%,0.00,0.00%,0.00,0.00,0.00,N/A - Business Expense,0.00,0.00,0.00,0.00%,-10939.50,,,Deductible Receipt Attached,Actual TY2026,Source control and AI coding assistant monthly tool subscription
2025-08-15,TXN-2025-0803,Income,freelance_service,Direct Wire Transfer from CloudScale UK - Microservices Refactoring & PostgreSQL Tuning,CloudScale UK,CloudScale Technologies Ltd,finance@cloudscale.co.uk,+44-20-7946-0912,direct,United Kingdom,CloudScale UK,INV-2025-005,paid,2025-08-01,2025-08-15,2025-08-15,2200.00,0.00,0.00,2200.00,GBP,356.4000,2200.00,2200.00,784080.00,2025-26,Section 154A IT Export,784080.00,0.00,0.00,0.25%,1960.20,1.00%,7840.80,5880.60,0.00,N/A - Export Final Tax,0.00,1960.20,7840.80,0.25%,782119.80,9100,PRC-HBL-2025-88419,Verified & Audit Ready,Actual TY2026,Foreign export proceeds in GBP with formal SBP PRC issued by HBL
2025-08-22,TXN-2025-0804,Expense,office,Coworking Space Dedicated Desk Monthly Rental & High-Speed Utilities,,,,,,Pakistan,Daftarkhwan / Kickstart Coworking,,,,,,,,,,PKR,1.0000,-45000.00,45000.00,45000.00,2025-26,Deductible Business Expense,0.00,0.00,45000.00,0.00%,0.00,0.00%,0.00,0.00,0.00,N/A - Business Expense,0.00,0.00,0.00,0.00%,-45000.00,,,Deductible Receipt Attached,Actual TY2026,Professional office space deductible commercial expenditure
