Date,Description,Amount,Type,Currency
2023-07-15,Payment from Acme Corp for Web App Development,1500.00,Income,USD
2023-07-20,GitHub & Vercel Pro Hosting Subscription,-40.00,Expense,USD
2023-08-10,Upwork Payout - Mobile App Project from TechStart LLC,1200.00,Income,USD
2023-08-15,Upwork Platform Service Fee,-120.00,Expense,USD
2023-09-05,Payment from Global Media Inc - UI/UX Redesign,2000.00,Income,USD
2023-09-12,Purchase M2 Laptop for Development Work,-1250.00,Expense,USD
2023-10-20,Monthly Retainer - CodeReview Agency,1000.00,Income,USD
2023-11-01,Office Coworking Desk Space Rent,-50000.00,Expense,PKR
2023-11-12,Payment from DevStudio Ltd - API Integration,1800.00,Income,USD
2023-12-18,Upwork Payout - E-Commerce Maintenance,1500.00,Income,USD
2024-01-15,Upwork Service Fee & Connects,-150.00,Expense,USD
2024-01-25,Payment from Acme Corp - Feature Expansion,2000.00,Income,USD
2024-02-20,OpenAI & Anthropic API Subscriptions,-80.00,Expense,USD
2024-03-10,Payment from TechStart LLC - Backend Optimization,1500.00,Income,USD
2024-04-10,Personal Living Expenses & Utilities,-690800.00,Expense,PKR
