Date,Ref ID,Type,Description,Agency,Amount,Balance
01/01/2025,98100001,Hourly,"Invoice for TechFlow Labs LLC - Sprint 1",,889.00,1889.00
01/01/2025,98100002,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 1",,-88.90,1800.10
02/02/2026,98100003,Fixed Price,"Invoice for Acme Corp - Sprint 2",,1532.00,3332.10
02/02/2026,98100004,Service Fee,"Service Fee for Acme Corp - Sprint 2",,-153.20,3178.90
03/03/2025,98100005,Hourly,"Invoice for Horizon Media Ltd - Sprint 3",,349.00,3527.90
03/03/2025,98100006,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 3",,-34.90,3493.00
04/04/2026,98100007,Fixed Price,"Invoice for Apex Digital Inc - Sprint 4",,1387.00,4880.00
04/04/2026,98100008,Service Fee,"Service Fee for Apex Digital Inc - Sprint 4",,-138.70,4741.30
05/05/2025,98100009,Hourly,"Invoice for Vanguard Software Studio - Sprint 5",,1935.00,6676.30
05/05/2025,98100010,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 5",,-193.50,6482.80
06/06/2026,98100011,Fixed Price,"Invoice for Nexus Systems - Sprint 6",,633.00,7115.80
06/06/2026,98100012,Service Fee,"Service Fee for Nexus Systems - Sprint 6",,-63.30,7052.50
07/07/2025,98100013,Hourly,"Invoice for CyberPulse Interactive - Sprint 7",,1602.00,8654.50
07/07/2025,98100014,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 7",,-160.20,8494.30
08/08/2026,98100015,Fixed Price,"Invoice for BlueSky Solutions - Sprint 8",,1201.00,9695.30
08/08/2026,98100016,Service Fee,"Service Fee for BlueSky Solutions - Sprint 8",,-120.10,9575.20
09/09/2025,98100017,Hourly,"Invoice for Starlight Interactive - Sprint 9",,1130.00,10705.20
09/09/2025,98100018,Service Fee,"Service Fee for Starlight Interactive - Sprint 9",,-113.00,10592.20
10/10/2026,98100019,Fixed Price,"Invoice for Quantum Code Soft - Sprint 10",,1902.00,12494.20
10/10/2026,98100020,Service Fee,"Service Fee for Quantum Code Soft - Sprint 10",,-190.20,12304.00
11/11/2025,98100021,Hourly,"Invoice for TechFlow Labs LLC - Sprint 11",,402.00,12706.00
11/11/2025,98100022,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 11",,-40.20,12665.80
